wsysCd,rivCd,year,date,area,slope,population,29d,28d,27d,26d,25d,24d,23d,22d,21d,20d,19d,18d,17d,16d,15d,14d,13d,12d,11d,10d,9d,8d,7d,6d,5d,4d,3d,2d,1d,0d,damageObs
080003,0800030007,2000,2000/7/9,24.06619476,6.43599987,69500,3.930656737,4.852546078,0.168869142,0,12.911177,0.435044643,0.794475937,34.0775717,0,0.993035515,0.75969561,8.70090305,15.31110565,0,0,12.92615411,0,8.213265765,4.079738935,4.271342672,4.85034645,0,12.57445551,0,0,0.321005499,0,39.11085782,204.5527959,0,6049000
080008,0800080001,2000,2000/7/9,39.77254132,4.761538029,174508,8.353228352,2.570991753,0.757606758,0,19.67667807,0,8.276183984,0,0,0,0,0,0,19.73196602,1.967771152,0,0,0,0,0,0,0,5.193730766,0,0,0.799736778,5.812522102,79.40543369,179.340039,0,6227000
080010,0800100001,2000,2000/7/9,14.70274843,8.550000191,174508,2.045712619,25.85574245,9.650645479,0.011621875,3.98693736,8.882920569,3.341895306,0,0,0,1.251680392,0.459339839,32.11338237,3.951510002,4.285249342,22.08027323,24.98581778,1.798981819,40.74657669,0.211032895,0,0,0,0,10.74767591,23.84973945,15.85584203,113.2949683,63.63434441,14.68318019,4133000
080016,0800160001,2001,2001/10/11,28.63369821,0.71071434,247974,10.91457599,14.46614697,25.38994661,0,10.50967225,0,7.204817038,7.045141439,0.945980871,66.88243925,0.92326264,8.73403573,109.4534079,2.025235579,0,5.372759915,5.957598031,1.102781296,0.759091178,0,0,1.73764886,44.43584426,36.89090882,113.1395813,60.94318275,94.79531674,31.35993154,0,0,13670000
080003,0800030001,2004,2004/10/12,59.8918371,5.542372704,126404,0,0.035369043,0,0,1.721386852,0,0,0.079301329,0,2.183167444,0,1.853521992,8.609688291,14.46706636,6.181858507,0,35.38205224,18.58459507,0,0,35.10634798,2.278382077,44.40074975,3.155260088,0,26.03557279,155.7841345,0,4.317087269,8.178516199,10672000
080006,0800060001,2004,2004/10/12,44.1469728,5.725532055,202207,3.027364694,3.576482698,1.960121187,0,0,0,5.231887958,25.80501413,15.91071799,38.67735269,28.4704494,0,3.207379598,1.895113079,0,0,0,0,0,0,0,0,0,4.245493928,0,3.742249789,10.95058782,237.9543421,5.761638932,0.137446702,4192000
080003,0800030008,2006,2006/6/16,4.297660927,6.5,41801,20.75389456,0.750583431,3.787669833,0,0,0,6.374160083,9.277516063,1.181630317,0,0,0,0,2.379616308,0.065139618,0,0,0,4.287513604,0,17.44880985,3.610466334,12.42129999,0,1.316918694,18.60658306,374.0388649,2.247421029,13.75339548,0,289000
080008,0800080001,2006,2006/6/16,39.77254132,4.761538029,174508,3.105554876,3.868473519,0,0,10.68008604,0,0.750954035,26.38838198,0,0.780629429,0.748986186,6.272654494,12.38251513,0,0,10.72649134,0,6.361184669,3.164942482,3.201070728,3.888309076,0,10.37932217,0,0,0,0,32.22183642,166.3910083,0,2624000
080009,0800090001,2006,2006/6/16,10.27705239,5.550000191,174508,1.581944799,17.21544438,6.525242225,0,3.152428717,7.043466207,2.41804232,0,0,0,0.848038969,0,28.28123884,3.191318334,3.191630399,17.7879023,20.24844496,1.509771744,37.0898155,0,0,0,0,0,7.884707748,18.28063318,12.16979686,93.6240975,48.73669524,11.21883147,11498000
080011,0800110001,2006,2006/10/9,12.06379278,6.530769348,174508,7.893851749,11.41861227,18.5814018,0,8.981847696,0,5.432925472,4.820714785,0.762374386,51.30698728,0.741624383,6.846034058,81.07121701,1.539515133,0,3.972376221,5.161007545,0.776523744,0.735402463,0,0,1.471318453,33.51518936,29.90016286,94.02442397,44.91494235,74.62032932,25.43925869,0,0,14940000
080005,0800050001,2007,2007/7/17,17.80323434,3.893750191,27699,7.114879284,0.935398574,0.085059755,0,14.46989357,0,5.877209166,0,0,0,0,0,0,12.6085985,1.219623887,0,0,0,0,0,0,0,4.811270046,0,0,0.134010979,3.962157895,41.3455453,82.70513562,0,6308000
080008,0800080001,2007,2007/7/17,39.77254132,4.761538029,174508,3.934930018,4.744747804,0.992053519,0,11.3773357,0.119916319,0.316369547,30.49546038,0,0.426804355,0.310616527,10.25668551,10.4256448,0,0,10.12708271,0,7.748230283,3.815858835,5.629404842,3.691429577,0,8.006691591,0,0,1.97286682,0,33.02177074,157.8258283,0,3774000
