wsysCd,rivCd,year,date,area,slope,population,29d,28d,27d,26d,25d,24d,23d,22d,21d,20d,19d,18d,17d,16d,15d,14d,13d,12d,11d,10d,9d,8d,7d,6d,5d,4d,3d,2d,1d,0d,damageObs,dmgObs,dmgPred
080006,0800060001,1998,1998/8/31,44.1469728,5.725532055,202207,90.31201935,1141.452759,426.0467834,0.513070583,176.0112152,392.1540527,147.5345612,0,0,0,55.25790024,20.27846336,1417.708618,174.4472046,189.1807861,974.7772217,1103.048218,79.41960144,1798.838013,9.31646347,0,0,0,0,474.477356,1052.893799,699.9874268,5001.629883,2809.263672,648.2179565,5415000,5415000,17621324.79
080006,0800060003,1998,1998/8/31,12.84748543,5.949999809,27699,20.32401276,221.1751709,83.83295441,0,40.50078201,90.49082947,31.06576347,0,0,0,10.8951683,0,363.342804,41.0004158,41.00442505,228.5298157,260.1416016,19.39677048,476.5108643,0,0,0,0,0,101.2986679,234.8601685,156.3512878,1202.834229,626.1439819,144.1337738,8519000,8519000,18187579.05
080008,0800080001,1998,1998/8/31,39.77254132,4.761538029,174508,69.0423584,1122.497803,335.9472351,0,150.9707794,362.2549744,164.7265625,0,0,0,40.94873047,62.46920395,884.6956787,116.2498322,140.4516602,652.7255249,979.5472412,36.4796257,869.3181152,37.28961182,0,0,0,0,437.3844604,684.243103,496.4797363,3053.318848,2308.968994,513.3666382,3990000,3990000,18790855.48
080001,0800010001,1999,1999/7/17,28.28568061,4.544000149,374732,214.9094238,238.5832825,908.6462402,0,46.46520996,2.768841982,181.8439484,147.366394,0,1419.471069,40.28602219,125.2483444,2798.102783,73.03456879,0,98.80271149,48.11810303,34.46116257,0,0,0,16.26273918,1399.472412,368.5235291,1157.168823,1765.686279,1789.927734,422.8411255,0,0,2557000,2557000,10458034.84
080003,0800030003,1999,1999/7/17,8.778929416,5.422221661,41801,78.05456543,84.58452606,325.0098877,0,16.70903778,0,65.73233795,53.56615829,0,518.9445801,14.96814346,46.18196869,1017.362549,26.78022766,0,38.04511261,18.42059708,12.1037941,0,0,0,4.388074398,501.2995605,135.4530334,418.8461914,645.9060059,637.2820435,152.10672,0,0,2860000,2860000,7893085.42
080006,0800060001,1999,1999/7/17,44.1469728,5.725532055,202207,481.8454895,638.6365967,1120.889282,0,463.9702148,0,318.0708618,311.0216675,41.76219177,2952.657227,40.75925064,385.5812378,4832.036621,89.40802002,0,237.1910858,263.0099182,48.68445587,33.51157761,0,0,76.71193695,1961.708008,1628.621948,4994.77002,2690.457031,4184.92627,1384.446045,0,0,16188000,16188000,9407657.847
080006,0800060003,1999,1999/7/17,12.84748543,5.949999809,27699,101.4161453,146.7004547,238.7242889,0,115.3941574,0,69.79943085,61.93406296,9.794593811,659.1657715,9.528008461,87.95432281,1041.561279,19.77889824,0,51.03504562,66.30596924,9.976377487,9.448072433,0,0,18.90274239,430.585907,384.1419067,1207.977417,577.0440674,958.6835938,326.8305054,0,0,20924000,20924000,11355343.76
080008,0800080001,1999,1999/7/17,39.77254132,4.761538029,174508,481.1372681,446.0858154,921.3837891,0,228.1563873,0,265.9325256,386.5969543,35.64047623,2477.326172,13.36641979,289.3478088,4340.032715,51.51446915,0,204.2786713,124.8860931,41.46666336,11.70531273,0,0,30.6386013,1568.965698,1234.377808,3156.861572,2451.625977,2649.682617,924.8366089,0,0,21085000,21085000,11606051.42
080011,0800110001,1999,1999/7/17,12.06379278,6.530769348,174508,186.5072937,109.4958954,291.3266602,0,5.554600239,0,84.83003235,178.6866302,12.35482216,819.8935547,0,79.39176941,1489.759033,2.701474667,0,59.84178162,1.360517025,12.68813515,0,0,0,0,480.5687256,362.6887817,654.5491943,836.6773682,417.2612305,213.2744446,0,0,6961000,6961000,9727116.857
080003,0800030007,2000,2000/7/9,24.06619476,6.43599987,69500,103.4681625,369.2802124,29.26719284,401.3099976,504.5231018,0,0,21.15067482,0,0,0,0,0,277.4944153,618.4260254,45.0476265,42.54327011,38.62852478,452.6657104,3.548295259,2.30872941,168.7595825,990.9384766,30.19248962,211.2807007,36.90148926,0,836.9780273,4271.953613,9.206916809,6049000,6049000,12724966.96
